part_id,sku,name,category,subcategory,unit_price_cents,weight_grams,warehouse_id,active,created_at,updated_at
P-00062,NR-FRM-00062,High-Torque Mounting Bracket KA-594,Frames and Structure,Mounting Bracket,13411,41167,W-07,true,2022-08-16T07:33:36Z,2023-08-14T07:16:07Z
P-00063,NR-PWR-00063,Heavy-Duty DC-DC Converter LN-631,Power Systems,DC-DC Converter,123679,200,W-08,true,2022-03-13T01:15:33Z,2022-10-12T04:18:43Z
P-00064,NR-SEN-00064,Rapid-Cycle Proximity Sensor MA-668,Sensors,Proximity Sensor,201558,2099,W-05,true,2022-09-05T23:47:57Z,2022-10-05T23:28:15Z
P-00065,NR-ACT-00065,Low-Backlash Servo Motor NN-705,Actuators,Servo Motor,155437,7802,W-08,true,2024-06-12T16:39:48Z,2024-06-22T06:40:52Z
P-00066,NR-CBL-00066,Compact Cable Chain OA-742,Cabling and Connectors,Cable Chain,11033,2915,W-04,true,2024-08-09T16:32:42Z,2024-12-26T13:19:39Z
P-00067,NR-CTL-00067,Quiet-Drive Motion Controller PN-779,Controllers,Motion Controller,424190,4790,W-02,true,2022-07-12T06:11:13Z,2023-07-20T05:54:40Z
P-00068,NR-DRV-00068,Sealed Harmonic Reducer QA-816,Drivetrain,Harmonic Reducer,106894,3932,W-03,true,2024-12-29T10:16:41Z,2025-03-01T05:08:22Z
P-00069,NR-EFF-00069,Industrial Parallel Gripper RN-853,End Effectors,Parallel Gripper,227182,10086,W-05,false,2022-11-16T04:46:31Z,2023-04-04T20:33:47Z
P-00070,NR-FRM-00070,Precision Aluminum Extrusion SA-890,Frames and Structure,Aluminum Extrusion,39276,56366,W-07,true,2021-07-17T15:11:52Z,2022-01-10T06:35:37Z
P-00071,NR-PWR-00071,Modular Battery Pack TN-927,Power Systems,Battery Pack,103918,7267,W-06,true,2023-10-14T21:17:16Z,2023-11-13T19:00:46Z
P-00072,NR-SEN-00072,High-Torque Rotary Encoder UA-964,Sensors,Rotary Encoder,188838,2708,W-08,true,2021-03-07T04:13:03Z,2021-08-31T05:33:31Z
P-00073,NR-ACT-00073,Heavy-Duty Linear Actuator VN-101,Actuators,Linear Actuator,392283,14388,W-08,false,2021-01-26T00:55:44Z,2021-10-27T11:34:17Z
P-00074,NR-CBL-00074,Rapid-Cycle M12 Connector WA-138,Cabling and Connectors,M12 Connector,6573,1929,W-02,true,2021-05-01T08:37:54Z,2022-05-30T02:38:23Z
P-00075,NR-CTL-00075,Low-Backlash PLC Module XN-175,Controllers,PLC Module,216965,5549,W-05,true,2023-06-06T00:46:54Z,2024-03-20T11:25:18Z
P-00076,NR-DRV-00076,Compact Planetary Gearbox YA-212,Drivetrain,Planetary Gearbox,240012,2600,W-06,true,2024-09-22T14:10:18Z,2025-04-30T11:14:50Z
P-00077,NR-EFF-00077,Quiet-Drive Vacuum Gripper ZN-249,End Effectors,Vacuum Gripper,322794,8136,W-05,true,2022-09-27T00:28:14Z,2023-07-15T01:40:32Z
P-00078,NR-FRM-00078,Sealed Base Plate AA-286,Frames and Structure,Base Plate,2000,37591,W-03,true,2021-03-11T07:12:10Z,2021-10-23T05:27:41Z
P-00079,NR-PWR-00079,Industrial Power Supply Unit BN-323,Power Systems,Power Supply Unit,249762,4941,W-06,true,2021-11-25T12:31:57Z,2022-07-26T17:14:49Z
P-00080,NR-SEN-00080,Precision Thermal Camera Module CA-360,Sensors,Thermal Camera Module,27091,1659,W-06,true,2022-08-12T12:10:02Z,2022-09-06T19:51:59Z
P-00081,NR-ACT-00081,Modular Rotary Actuator DN-397,Actuators,Rotary Actuator,198307,8630,W-05,false,2024-12-24T06:38:02Z,2025-06-16T17:07:38Z
P-00082,NR-CBL-00082,High-Torque Servo Cable EA-434,Cabling and Connectors,Servo Cable,300,610,W-05,true,2021-07-08T08:14:35Z,2021-08-17T06:59:44Z
P-00083,NR-CTL-00083,Heavy-Duty Edge Compute Node FN-471,Controllers,Edge Compute Node,211506,2660,W-01,true,2021-10-30T23:00:23Z,2022-06-15T14:08:22Z
P-00084,NR-DRV-00084,Rapid-Cycle Timing Belt GA-508,Drivetrain,Timing Belt,243100,5786,W-02,true,2022-05-05T01:12:18Z,2022-08-02T16:43:56Z
P-00085,NR-EFF-00085,Low-Backlash Welding Torch HN-545,End Effectors,Welding Torch,208459,3063,W-06,true,2022-07-01T18:56:14Z,2023-07-29T12:48:51Z
P-00086,NR-FRM-00086,Compact Gantry Beam IA-582,Frames and Structure,Gantry Beam,57404,36769,W-02,true,2022-11-29T10:44:27Z,2023-10-20T18:40:30Z
P-00087,NR-PWR-00087,Quiet-Drive Motor Driver JN-619,Power Systems,Motor Driver,142069,17379,W-08,true,2022-01-16T12:10:17Z,2022-11-29T02:42:40Z
P-00088,NR-SEN-00088,Sealed LIDAR Unit KA-656,Sensors,LIDAR Unit,104384,619,W-05,true,2022-06-15T14:43:11Z,2023-02-14T09:12:08Z
P-00089,NR-ACT-00089,Industrial Stepper Motor LN-693,Actuators,Stepper Motor,314709,14936,W-06,true,2023-09-10T18:08:49Z,2024-02-11T15:04:37Z
P-00090,NR-CBL-00090,Precision EtherCAT Cable MA-730,Cabling and Connectors,EtherCAT Cable,13726,804,W-07,true,2022-10-13T07:29:37Z,2023-05-05T21:10:49Z
P-00091,NR-CTL-00091,Modular IO Expansion Board NN-767,Controllers,IO Expansion Board,496052,1237,W-01,true,2021-07-16T08:27:25Z,2021-08-11T19:40:24Z
P-00092,NR-DRV-00092,High-Torque Ball Screw OA-804,Drivetrain,Ball Screw,187518,6841,W-07,false,2021-07-25T15:24:01Z,2022-08-29T13:46:39Z
P-00093,NR-EFF-00093,Heavy-Duty Tool Changer PN-841,End Effectors,Tool Changer,438877,1149,W-06,true,2022-09-17T23:29:01Z,2023-03-24T12:09:23Z
P-00094,NR-FRM-00094,Rapid-Cycle Mounting Bracket QA-878,Frames and Structure,Mounting Bracket,38677,22973,W-08,true,2023-08-16T21:37:03Z,2023-11-08T14:37:45Z
P-00095,NR-PWR-00095,Low-Backlash DC-DC Converter RN-915,Power Systems,DC-DC Converter,146124,9050,W-03,true,2024-11-15T16:23:45Z,2025-09-29T06:22:23Z
P-00096,NR-SEN-00096,Compact Force-Torque Sensor SA-952,Sensors,Force-Torque Sensor,72353,716,W-07,true,2023-01-12T03:48:09Z,2023-04-26T17:01:53Z
P-00097,NR-ACT-00097,Quiet-Drive Servo Motor TN-989,Actuators,Servo Motor,214387,2585,W-05,true,2021-01-13T02:11:56Z,2021-10-27T09:08:53Z
P-00098,NR-CBL-00098,Sealed Cable Chain UA-126,Cabling and Connectors,Cable Chain,5791,1031,W-04,true,2023-03-02T04:29:14Z,2023-10-05T03:00:31Z
P-00099,NR-CTL-00099,Industrial Motion Controller VN-163,Controllers,Motion Controller,555375,4316,W-06,true,2021-03-17T00:18:18Z,2022-04-15T18:21:34Z
P-00100,NR-DRV-00100,Precision Harmonic Reducer WA-200,Drivetrain,Harmonic Reducer,228547,4287,W-02,true,2024-03-22T10:11:54Z,2024-08-08T00:06:36Z
